ID	Country	Year	Month	Day
NY_MEDDAC_FD_513	USA	2022	05	26
OR-CDC-LC0551422	USA	2022	02	11
CA-CDPH-7000015952	USA	2022	07	18
NMDOH-2021068429	USA	2021	02	24
FL-CDC-LC0740699	USA	2022	06	20
CA-CDC-LC0876968	USA	2022	09	06
CO-CDC-MMB14038084	USA	2022	01	31
HiroHC085c	Japan	2020	07	21
TX-CDC-STM-000069405	USA	2021	05	03
OR-CDC-LC0890187	USA	2022	09	19
CO-CDPHE-2103144411	USA	2022	04	14
TN-CDC-ASC210535965	USA	2021	12	14
NJ-CDC-QDX35281527	USA	2022	03	27
OH-CDC-ASC210501997	USA	2021	12	30
VA-DCLS-10066	USA	2021	09	19
PA-CDC-STM-000057166	USA	2021	04	13
OH-CDC-ASC210428100	USA	2021	11	19
CA-CDC-ASC210755953	USA	2022	03	03
IL-CDC-QDX44021988	USA	2022	11	26
CA-CDC-STM-8UYA7JGBR	USA	2022	07	25
RJ-NVBS3334GENOV827851783629	Brazil	2021	07	15
RNA_Slo_2021_08_21	Slovakia	2021	08	21
TX-CDC-STM-KUTYFFR29	USA	2022	05	31
CO-CDPHE-2103560253	USA	2022	07	19
UT-UPHL-220304170185	USA	2022	02	16
NM-CDC-LC0697207	USA	2022	05	31
UT-UPHL-220304056287	USA	2022	02	09
GA-CDC-STM-VVVDZVW4X	USA	2022	07	17
AZ-2022-0671	USA	2022	02	10
NM-UNM-01803	USA	2021	01	14
UT-UPHL-221118801102	USA	2022	09	11
KS-CDC-QDX37979089	USA	2022	06	11
VA-CDC-QDX37345409	USA	2022	05	24
MT291826.1	China	2019	12	30
MT019531.1	China	2019	12	30
OL549280.1	China	2019	12	31
FR999383.1	United Kingdom	2020	04	18
FR999402.1	United Kingdom	2020	04	18
OA969428.1	United Kingdom	2020	05	18
